City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,linhares,-19.3816944,-40.0612213,23.42,79,71,2.38,BR,1702247136
1,rancho palos verdes,33.7483311,-118.3707683,25.25,31,0,5.14,US,1702247138
2,tyniste nad orlici,50.1513634,16.0776973,4.84,89,87,3.35,CZ,1702247139
3,balqash,46.8433208,74.9773285,-9.03,47,100,4.22,KZ,1702247140
4,vorgashor,67.581192,63.783737,-24.92,100,100,3.25,RU,1702247141
5,fuvahmulah,-0.2948408,73.4240650441918,27.66,74,97,1.99,MV,1702247142
6,zangguy,37.3567795,78.7946646,1.52,30,98,4.19,CN,1702247144
7,new norfolk,-42.7801998,147.0615332,18.42,45,83,1.39,AU,1702247145
8,kill devil hills,36.0321186,-75.6776147,19.0,92,75,5.14,US,1702247146
9,bredasdorp,-34.533055,20.042778,16.23,78,0,2.59,ZA,1702247147
10,jamestown,-15.9277296,-5.7160872,21.85,77,14,8.31,SH,1702247149
11,blackmans bay,-43.004684,147.3179857,18.25,57,67,0.77,AU,1702247151
12,st. paul,44.9497487,-93.0931028,-3.62,84,100,2.06,US,1702247099
13,ayr,55.4628044,-4.6302502,5.17,87,100,2.57,GB,1702247153
14,ulladulla,-35.3621503,150.4751713,23.42,70,100,2.6,AU,1702247153
15,ribeira grande,37.8225227,-25.5194914,18.23,99,40,5.66,PT,1702247155
16,igarka,67.4566185,86.5308425,-30.79,97,100,2.26,RU,1702247155
17,kapa'a,-33.928992,18.417396,19.11,68,0,5.66,ZA,1702247156
18,dakhla,23.6940663,-15.9431274,22.19,45,38,4.74,EH,1702247157
19,waitangi,-35.2704653,174.0804593,21.42,80,78,1.36,NZ,1702247158
20,phan rang-thap cham,11.5769829,108.9865391,21.38,91,54,2.64,VN,1702247159
21,saint-denis,48.935773,2.3580232,13.35,89,0,4.63,FR,1702247159
22,port elizabeth,-33.9617051,25.6207519,15.08,94,0,1.54,ZA,1702247160
23,yellowknife,62.4540807,-114.377385,-13.21,97,100,9.39,CA,1702247162
24,brownsburg-chatham,45.662804,-74.45480921584837,4.08,98,100,1.25,CA,1702247163
25,la ronge,55.1005283,-105.2900485,-5.9,79,75,2.06,CA,1702247165
26,villa gesell,-37.255634,-56.9680922,20.16,76,3,7.07,AR,1702247166
27,iskateley,67.676239,53.129215,-22.75,91,99,4.92,RU,1702247167
28,akureyri,65.68390355,-18.11217559813441,-11.34,92,0,0.0,IS,1702247168
29,coquimbo,-29.9531928,-71.3379884,16.93,77,75,3.6,CL,1702247169
30,khartoum,15.5635972,32.5349123,26.17,18,0,3.61,SD,1702247171
31,bethel,60.7922222,-161.7558333,-18.98,84,0,9.26,US,1702247172
32,albany,42.6511674,-73.754968,14.66,93,100,4.63,US,1702247096
33,benjamin constant,-4.3782748,-70.0290603,32.08,66,20,1.54,BR,1702247175
34,saipan,15.1909825,145.746743003024,26.11,78,20,5.66,MP,1702247176
35,luderitz,-26.6500086,15.157266,18.07,66,2,8.56,NA,1702247179
36,grytviken,-54.2806481,-36.5098,5.61,90,100,6.68,GS,1702247180
37,sinop,42.0265798,35.1511512,11.52,81,95,6.4,TR,1702247182
38,talnakh,69.4939889,88.3907607,-27.46,99,100,4.2,RU,1702247183
39,ghanzi,-21.6968123,21.6457062,19.53,84,49,6.11,BW,1702247184
40,puerto ayacucho,5.6576119,-67.6043921,28.89,74,61,1.02,VE,1702247187
41,port-aux-francais,-49.3497607,70.2199565,3.6,78,56,9.9,TF,1702247189
42,adamstown,-25.066667,-130.100205,21.07,58,0,4.13,PN,1702247191
43,machico,32.722875,-16.7659069,21.2,87,75,1.54,PT,1702247192
44,weiser,44.2509976,-116.9693327,4.37,87,100,0.45,US,1702247194
45,puerto deseado,-47.7516166,-65.9013234,12.78,66,100,6.48,AR,1702247195
46,margaret river,-33.9531776,115.0769369,13.08,59,0,5.11,AU,1702247196
47,nar'yan-mar,67.6380175,53.0071044,-22.73,91,98,4.92,RU,1702247197
48,west island,-12.145866,96.84227540282865,26.03,78,75,4.12,CC,1702247198
49,hawaiian paradise park,19.585022,-154.973145,25.66,94,100,2.57,US,1702247200
50,faro,37.0162727,-7.9351771,16.16,94,0,1.54,PT,1702247201
51,hadibu,12.651236,54.0236598,24.8,71,44,5.16,YE,1702247203
52,vorkuta,67.5035662,64.0627028,-24.93,100,100,2.85,RU,1702247204
53,papatowai,-46.5618677,169.470842,14.66,44,21,3.33,NZ,1702247207
54,mangrol,21.575642,72.8565391,20.86,52,4,3.57,IN,1702247208
55,sinabang,2.479474,96.3805931,25.73,86,100,1.29,ID,1702247209
56,tiksi,71.636604,128.868546,-25.32,100,100,1.65,RU,1702247210
57,bilibino,68.0550305,166.4448515,-26.15,98,45,1.96,RU,1702247211
58,parasia,22.1910757,78.7590615,14.56,66,3,0.61,IN,1702247212
59,tual,-5.6389933,132.7429249,28.87,75,96,6.18,ID,1702247214
60,trail,49.087189,-117.73153324118164,3.87,96,100,0.38,CA,1702247215
61,puerto ayora,-0.7471674,-90.3134198,28.34,77,34,3.89,EC,1702247217
62,kodiak,57.79,-152.4072222,3.73,93,100,4.12,US,1702247218
63,basco,40.3278229,-91.2001437,4.92,52,1,3.4,US,1702247220
64,selfoss,63.9368093,-21.0035319,-1.03,78,100,1.81,IS,1702247220
65,lihue,21.9769622,-159.3687721,26.85,75,20,4.12,US,1702247221
66,alesund,62.76712545,6.168828066313526,3.08,65,26,8.45,NO,1702247222
67,nemuro,43.3301154,145.5829068,-1.41,53,21,4.77,JP,1702247223
68,ilulissat,69.2197127,-51.0986385,-2.84,80,100,6.69,GL,1702247224
69,longyearbyen,78.2231558,15.6463656,0.15,80,75,7.2,SJ,1702247225
